trial_id,scenario,condition,repetition,status,model,settings_sha256,prompt_sha256,guidance_sha256,task_completion,executable_correctness,first_attempt_success,unsupported_api_count,unnecessary_dependency_count,recovery,tool_calls,elapsed_seconds,critical_defect,evidence
document_retrieval__website_docs__r1,document_retrieval,website_docs,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,595814353ce6af449cadd05fcb9397ee90d9cd5afb85e60f91fec300a001d762,708ca58c800cadd447aac0a17de88c2a42996555115cc5972783288cadc6b69e,,,,,,,,,,results/full-20260910/document_retrieval__website_docs__r1/evidence.json
document_retrieval__website_docs__r2,document_retrieval,website_docs,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,595814353ce6af449cadd05fcb9397ee90d9cd5afb85e60f91fec300a001d762,708ca58c800cadd447aac0a17de88c2a42996555115cc5972783288cadc6b69e,,,,,,,,,,results/full-20260910/document_retrieval__website_docs__r2/evidence.json
image_video__mcp_skill__r1,image_video,mcp_skill,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,e418144dc31dc8a4142037f784eb350a027ddde84fab040df444a48a30ba3bd9,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/image_video__mcp_skill__r1/evidence.json
image_video__mcp_skill__r2,image_video,mcp_skill,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,e418144dc31dc8a4142037f784eb350a027ddde84fab040df444a48a30ba3bd9,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/image_video__mcp_skill__r2/evidence.json
image_video__skill_only__r1,image_video,skill_only,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,e418144dc31dc8a4142037f784eb350a027ddde84fab040df444a48a30ba3bd9,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/image_video__skill_only__r1/evidence.json
image_video__skill_only__r2,image_video,skill_only,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,e418144dc31dc8a4142037f784eb350a027ddde84fab040df444a48a30ba3bd9,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/image_video__skill_only__r2/evidence.json
image_video__website_docs__r1,image_video,website_docs,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,e418144dc31dc8a4142037f784eb350a027ddde84fab040df444a48a30ba3bd9,708ca58c800cadd447aac0a17de88c2a42996555115cc5972783288cadc6b69e,,,,,,,,,,results/full-20260910/image_video__website_docs__r1/evidence.json
image_video__website_docs__r2,image_video,website_docs,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,e418144dc31dc8a4142037f784eb350a027ddde84fab040df444a48a30ba3bd9,708ca58c800cadd447aac0a17de88c2a42996555115cc5972783288cadc6b69e,,,,,,,,,,results/full-20260910/image_video__website_docs__r2/evidence.json
audio_processing__mcp_skill__r1,audio_processing,mcp_skill,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,4d17fdc840ce50e97450ad475bc2acb255d99262e3bac37caf77fc2e44bde2cb,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/audio_processing__mcp_skill__r1/evidence.json
audio_processing__mcp_skill__r2,audio_processing,mcp_skill,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,4d17fdc840ce50e97450ad475bc2acb255d99262e3bac37caf77fc2e44bde2cb,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/audio_processing__mcp_skill__r2/evidence.json
audio_processing__skill_only__r1,audio_processing,skill_only,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,4d17fdc840ce50e97450ad475bc2acb255d99262e3bac37caf77fc2e44bde2cb,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/audio_processing__skill_only__r1/evidence.json
audio_processing__skill_only__r2,audio_processing,skill_only,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,4d17fdc840ce50e97450ad475bc2acb255d99262e3bac37caf77fc2e44bde2cb,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/audio_processing__skill_only__r2/evidence.json
audio_processing__website_docs__r1,audio_processing,website_docs,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,4d17fdc840ce50e97450ad475bc2acb255d99262e3bac37caf77fc2e44bde2cb,708ca58c800cadd447aac0a17de88c2a42996555115cc5972783288cadc6b69e,,,,,,,,,,results/full-20260910/audio_processing__website_docs__r1/evidence.json
audio_processing__website_docs__r2,audio_processing,website_docs,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,4d17fdc840ce50e97450ad475bc2acb255d99262e3bac37caf77fc2e44bde2cb,708ca58c800cadd447aac0a17de88c2a42996555115cc5972783288cadc6b69e,,,,,,,,,,results/full-20260910/audio_processing__website_docs__r2/evidence.json
tool_calling__mcp_skill__r1,tool_calling,mcp_skill,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,52323b573f82875f8b49ffcec9e6629b8dbfa4d8d7b032b2fe5be5f4078f798c,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/tool_calling__mcp_skill__r1/evidence.json
tool_calling__mcp_skill__r2,tool_calling,mcp_skill,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,52323b573f82875f8b49ffcec9e6629b8dbfa4d8d7b032b2fe5be5f4078f798c,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/tool_calling__mcp_skill__r2/evidence.json
tool_calling__skill_only__r1,tool_calling,skill_only,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,52323b573f82875f8b49ffcec9e6629b8dbfa4d8d7b032b2fe5be5f4078f798c,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/tool_calling__skill_only__r1/evidence.json
tool_calling__skill_only__r2,tool_calling,skill_only,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,52323b573f82875f8b49ffcec9e6629b8dbfa4d8d7b032b2fe5be5f4078f798c,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/tool_calling__skill_only__r2/evidence.json
tool_calling__website_docs__r1,tool_calling,website_docs,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,52323b573f82875f8b49ffcec9e6629b8dbfa4d8d7b032b2fe5be5f4078f798c,708ca58c800cadd447aac0a17de88c2a42996555115cc5972783288cadc6b69e,,,,,,,,,,results/full-20260910/tool_calling__website_docs__r1/evidence.json
tool_calling__website_docs__r2,tool_calling,website_docs,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,52323b573f82875f8b49ffcec9e6629b8dbfa4d8d7b032b2fe5be5f4078f798c,708ca58c800cadd447aac0a17de88c2a42996555115cc5972783288cadc6b69e,,,,,,,,,,results/full-20260910/tool_calling__website_docs__r2/evidence.json
schema_evolution__mcp_skill__r1,schema_evolution,mcp_skill,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,8e9c488946e44c887403a2632d7f9916de3a12d722420e91c0da853ab0758f3b,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/schema_evolution__mcp_skill__r1/evidence.json
schema_evolution__mcp_skill__r2,schema_evolution,mcp_skill,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,8e9c488946e44c887403a2632d7f9916de3a12d722420e91c0da853ab0758f3b,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/schema_evolution__mcp_skill__r2/evidence.json
schema_evolution__skill_only__r1,schema_evolution,skill_only,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,8e9c488946e44c887403a2632d7f9916de3a12d722420e91c0da853ab0758f3b,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/schema_evolution__skill_only__r1/evidence.json
schema_evolution__skill_only__r2,schema_evolution,skill_only,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,8e9c488946e44c887403a2632d7f9916de3a12d722420e91c0da853ab0758f3b,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/schema_evolution__skill_only__r2/evidence.json
schema_evolution__website_docs__r1,schema_evolution,website_docs,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,8e9c488946e44c887403a2632d7f9916de3a12d722420e91c0da853ab0758f3b,708ca58c800cadd447aac0a17de88c2a42996555115cc5972783288cadc6b69e,,,,,,,,,,results/full-20260910/schema_evolution__website_docs__r1/evidence.json
schema_evolution__website_docs__r2,schema_evolution,website_docs,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,8e9c488946e44c887403a2632d7f9916de3a12d722420e91c0da853ab0758f3b,708ca58c800cadd447aac0a17de88c2a42996555115cc5972783288cadc6b69e,,,,,,,,,,results/full-20260910/schema_evolution__website_docs__r2/evidence.json
failed_computation_recovery__mcp_skill__r1,failed_computation_recovery,mcp_skill,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,2137d1840a0adb7140a2182f95c4015e217fcaa3ad60343e04d852b031a69599,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/failed_computation_recovery__mcp_skill__r1/evidence.json
failed_computation_recovery__mcp_skill__r2,failed_computation_recovery,mcp_skill,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,2137d1840a0adb7140a2182f95c4015e217fcaa3ad60343e04d852b031a69599,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/failed_computation_recovery__mcp_skill__r2/evidence.json
failed_computation_recovery__skill_only__r1,failed_computation_recovery,skill_only,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,2137d1840a0adb7140a2182f95c4015e217fcaa3ad60343e04d852b031a69599,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/failed_computation_recovery__skill_only__r1/evidence.json
failed_computation_recovery__skill_only__r2,failed_computation_recovery,skill_only,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,2137d1840a0adb7140a2182f95c4015e217fcaa3ad60343e04d852b031a69599,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/failed_computation_recovery__skill_only__r2/evidence.json
failed_computation_recovery__website_docs__r1,failed_computation_recovery,website_docs,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,2137d1840a0adb7140a2182f95c4015e217fcaa3ad60343e04d852b031a69599,708ca58c800cadd447aac0a17de88c2a42996555115cc5972783288cadc6b69e,,,,,,,,,,results/full-20260910/failed_computation_recovery__website_docs__r1/evidence.json
failed_computation_recovery__website_docs__r2,failed_computation_recovery,website_docs,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,2137d1840a0adb7140a2182f95c4015e217fcaa3ad60343e04d852b031a69599,708ca58c800cadd447aac0a17de88c2a42996555115cc5972783288cadc6b69e,,,,,,,,,,results/full-20260910/failed_computation_recovery__website_docs__r2/evidence.json
cloud_preparation__mcp_skill__r1,cloud_preparation,mcp_skill,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,fcad45017efaf60770605cc6693077f44d4234a5d309b69446c6f65c322a227d,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/cloud_preparation__mcp_skill__r1/evidence.json
cloud_preparation__mcp_skill__r2,cloud_preparation,mcp_skill,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,fcad45017efaf60770605cc6693077f44d4234a5d309b69446c6f65c322a227d,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/cloud_preparation__mcp_skill__r2/evidence.json
cloud_preparation__skill_only__r1,cloud_preparation,skill_only,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,fcad45017efaf60770605cc6693077f44d4234a5d309b69446c6f65c322a227d,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/cloud_preparation__skill_only__r1/evidence.json
cloud_preparation__skill_only__r2,cloud_preparation,skill_only,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,fcad45017efaf60770605cc6693077f44d4234a5d309b69446c6f65c322a227d,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/cloud_preparation__skill_only__r2/evidence.json
cloud_preparation__website_docs__r1,cloud_preparation,website_docs,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,fcad45017efaf60770605cc6693077f44d4234a5d309b69446c6f65c322a227d,708ca58c800cadd447aac0a17de88c2a42996555115cc5972783288cadc6b69e,,,,,,,,,,results/full-20260910/cloud_preparation__website_docs__r1/evidence.json
cloud_preparation__website_docs__r2,cloud_preparation,website_docs,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,fcad45017efaf60770605cc6693077f44d4234a5d309b69446c6f65c322a227d,708ca58c800cadd447aac0a17de88c2a42996555115cc5972783288cadc6b69e,,,,,,,,,,results/full-20260910/cloud_preparation__website_docs__r2/evidence.json
